customer_id,customer_unique_key,customer_city,customer_state,region,signup_date
1,bdd640fb-0667-4ad1-9c80-317fa3b1799d,da Cruz de Goiás,SC,South,2023-01-26
2,ad3c2d6d-1a3d-4fa7-bc89-60a923b8c1e9,Pastor,BA,Northeast,2023-09-08
3,17fc695a-07a0-4a6e-8822-e8f36c031199,da Conceição,SP,Southeast,2023-04-15
4,8fadc1a6-06cb-4fb3-9a1d-e644815ef6d1,Silva,RS,South,2024-07-12
5,6b65a6a4-8b81-48f6-b38a-088ca65ed389,Machado,SP,Southeast,2024-03-08
6,de8a774b-cf36-458b-8737-819096da1dac,Teixeira,SP,Southeast,2023-04-06
7,6c307511-b2b9-437a-a8df-6ec4ce4a2bbd,da Mota Grande,SP,Southeast,2024-06-01
8,562b0f79-c374-49ee-b50b-ea63371ecd7b,Borges,PR,South,2024-07-28
9,d8f56413-5be6-428e-98c2-67976142ea7d,Pereira Paulista,SP,Southeast,2024-10-27
10,759cde66-bacf-43d0-8b1f-9163ce9ff57f,Garcia,RS,South,2024-03-05
11,d453dd32-4b0d-4b41-8d52-88f1142c3fe8,Oliveira do Oeste,SP,Southeast,2024-08-26
12,a9488d99-0bbb-4599-91ce-5dd2b45ed1f0,Vargas,RJ,Southeast,2023-01-07
13,daf61a26-146d-4f31-bc37-7a4c4a15544d,Brito,BA,Northeast,2023-06-13
14,a2bc372f-7412-4293-8729-4739614ff3d7,Castro da Praia,RS,South,2023-12-15
15,4458a885-ab90-49a4-b5a2-40ae5af30553,Pereira,RJ,Southeast,2023-08-09
16,baa80dd4-88bd-4407-abcf-be01a28defe3,Castro,GO,Central-West,2023-12-11
17,fd5166e6-451b-4cf3-a123-fdf77656af72,Rodrigues,SP,Southeast,2024-01-25
18,c6a7ee39-c4b0-42cc-97c5-24a55304317f,da Conceição,SP,Southeast,2023-12-19
19,50c187fc-ce17-4b4e-8837-b8a3d261a7ab,da Mata de Minas,PR,South,2023-02-14
20,9132b63e-f162-47e4-a9c3-49e03602f8ac,Cunha do Amparo,RS,South,2024-07-03
21,a491f0b2-ea1f-4a65-a27a-984d654821d0,Casa Grande de da Luz,SP,Southeast,2024-01-23
22,8fb5d27b-beb7-4919-bf22-faf823bed01d,Souza Verde,SP,Southeast,2023-10-28
23,663f1c97-9562-49f0-a5d7-b8756dadd6c7,Câmara Grande,PE,Northeast,2024-09-25
24,c17af08a-1745-46d8-be57-0ddf827050a8,Camargo,CE,Northeast,2024-01-06
25,cac5b68c-28f4-4481-a0a0-4dc427209bdf,Peixoto de Minas,PR,South,2023-03-13
26,ff01cf99-988c-44c9-a1b1-cd2262801c45,Moura de da Cunha,SP,Southeast,2023-08-22
27,f143262f-dc5c-4eed-8da0-365bf89897b9,Rodrigues,BA,Northeast,2023-03-23
28,e2817efd-ae84-4217-9d53-434bb88139b9,Vargas Alegre,CE,Northeast,2023-04-14
29,287d06ca-6f4c-469a-8b22-d3081c8eaee9,Abreu de Silveira,RJ,Southeast,2024-04-09
30,f8cda88b-436d-46e2-b83c-fe0be037e5ed,Montenegro,SC,South,2024-01-09
31,a013ac6e-deda-4e16-9b3d-bd5ce9a1fa6f,Porto do Galho,SP,Southeast,2023-12-30
32,5fb8d16c-2720-497d-b2eb-d6899be578c7,Nogueira,SP,Southeast,2023-10-01
33,87c5421e-ec24-43c5-8754-108ff4188f3f,Peixoto,RS,South,2024-11-30
34,1ca35cfb-04fc-4d82-bd15-438552fbe43b,das Neves de Goiás,SC,South,2024-09-15
35,913e4de2-e0c5-4cb8-bda9-c2a90ed42f1a,Barros,SC,South,2024-06-30
36,11b7e948-d0e6-4660-bc69-dee1bb5e4bcf,Cardoso,RS,South,2023-06-17
37,8cbfedb0-f264-4ccc-b9ac-1b1ea8e56e0c,da Luz,MG,Southeast,2023-10-04
38,6c52c49f-9b49-4d26-9f57-c59a8715a103,Nogueira,AM,North,2024-10-17
39,337ea2df-b09b-4a5c-badc-c32ac1590f53,Guerra da Praia,RS,South,2023-08-13
40,7394988f-847f-49b4-a64d-1bcb702753a1,da Cruz,RS,South,2023-02-27
41,05628059-568c-469b-9064-005c3985c3cf,Pastor,SP,Southeast,2023-02-02
42,b535106e-122c-4a56-81d7-425638602ab6,da Conceição,PE,Northeast,2024-02-15
43,dc1110c1-080a-4dfb-a7c9-9b26114125c6,Barbosa do Galho,SP,Southeast,2023-08-05
44,7c441fe7-ab42-40a7-874a-493b3ceddf2d,Nogueira,DF,Central-West,2024-08-03
45,e1e3db63-ef7d-4c76-b92d-a22b21df306f,da Cruz de Viana,CE,Northeast,2023-11-19
46,30beb45f-6835-44f2-8eb8-1f9d7914c120,Brito,SP,Southeast,2024-05-26
47,6c6fa611-5ab3-4edf-ae59-5ed3a8b317fa,Martins do Norte,RJ,Southeast,2024-10-20
48,a56c0941-fbf2-4050-a748-dbcfac619e63,Araújo,MG,Southeast,2023-09-29
49,ccf3a171-56dc-4907-ba6c-34ab6712303a,da Cruz,SP,Southeast,2024-07-28
50,72d8567d-894a-45e4-b0b1-87ef310c0c00,Lima,PR,South,2024-08-21
51,3ff350bf-766e-4b15-874e-bc192ef91276,Macedo,MG,Southeast,2024-08-20
52,8ce21ea3-db20-456e-9c81-5fe7ceda8bbb,Aragão,MG,Southeast,2023-08-13
53,d605e770-8a63-4881-bfd0-f9d5a6f2f7b8,Borges,PA,North,2023-05-22
54,3c835dc0-d944-4fa5-80e9-ab30ed2662e9,Jesus,ES,Southeast,2023-04-04
55,dd59ba71-36b8-4481-bb3a-4e3e7c52fa17,Araújo da Serra,BA,Northeast,2023-04-23
56,63f2ae24-fc3d-4348-808d-4127610461e3,Viana dos Dourados,SP,Southeast,2023-06-13
57,f512c4c3-b253-4218-ac4a-37ea490617f2,Cassiano de Correia,BA,Northeast,2024-03-08
58,0ef8c2d6-f7fd-4646-b7bb-3eec4bf50b52,Souza,PR,South,2024-01-30
59,958ca9ba-0cd6-40c2-8ea2-622b504867ba,Montenegro de Moura,RJ,Southeast,2024-04-24
60,82010c62-f5f5-4b22-8e8f-a8e0284d82e5,Cirino,PR,South,2024-07-20
61,acdabacc-1165-4210-9854-3881118a9d29,Guerra,CE,Northeast,2023-01-12
62,91d63f78-e3e9-4e99-b10c-718b1eb0e38a,Pacheco,RS,South,2023-04-28
63,14fcdd54-9e8f-4965-8a2c-827e98326856,Ribeiro Verde,RS,South,2024-07-03
64,ef48e8d5-50fd-4d3f-85d5-169590b2b633,Costela Alegre,BA,Northeast,2024-10-18
65,21813d25-6552-48a6-83ff-50113d1a85dd,Marques Alegre,RJ,Southeast,2023-10-28
