order_item_id,order_id,product_id,quantity,unit_price,freight_value
1,1,1023,1,212.81,22.95
2,1,997,1,1014.03,38.71
3,2,1010,1,113.33,43.99
4,2,297,1,336.67,18.85
5,3,365,1,270.05,35.1
6,4,212,1,255.95,28.06
7,4,1130,2,82.59,43.81
8,5,82,1,3148.74,35.93
9,5,562,1,287.38,29.08
10,5,370,1,146.9,8.23
11,5,476,1,38.98,12.48
12,6,982,1,312.89,27.06
13,7,710,1,453.61,33.17
14,8,527,1,941.07,16.12
15,9,71,1,3266.55,19.04
16,10,633,1,245.49,44.09
17,11,63,1,294.64,41.86
18,11,516,1,190.25,10.37
19,11,133,1,26.93,25.09
20,12,354,1,1929.8,7.53
21,12,444,1,2446.96,29.88
22,12,1117,1,152.77,19.13
23,12,230,1,244.83,34.67
24,13,650,2,225.06,35.3
25,14,34,3,161.9,22.28
26,14,1096,1,629.9,28.26
27,14,1032,1,4840.5,6.07
28,14,825,1,574.07,25.38
29,14,332,1,33.25,16.91
30,15,624,1,1723.27,8.49
31,15,156,1,514.72,43.9
32,16,577,1,1535.55,5.43
33,16,1164,1,157.46,16.2
34,16,1176,1,243.63,15.23
35,17,810,1,54.45,16.69
36,18,97,1,197.62,44.94
37,19,951,1,245.85,8.07
38,19,268,1,1604.16,40.65
39,19,175,1,191.11,24.87
40,20,131,1,250.91,36.59
41,20,446,1,393.82,43.84
42,20,1025,1,57.04,30.43
43,20,984,1,1101.42,24.06
44,21,935,1,218.81,9.54
45,22,83,1,1199.34,17.76
46,22,508,1,501.79,27.75
47,22,220,1,309.57,18.01
48,23,1196,1,845.89,15.07
49,23,375,2,1830.2,17.56
50,23,918,1,283.84,10.61
51,24,710,1,462.24,33.76
52,25,1058,1,1138.96,25.13
53,25,847,1,528.56,28.51
54,26,65,1,1978.61,10.59
55,27,256,1,603.4,24.67
56,27,356,1,322.09,16.18
57,27,605,2,2077.33,32.76
58,27,825,1,566.15,24.34
59,27,217,1,69.11,15.94
60,28,530,1,286.93,8.29
61,29,949,1,2092.12,31.38
62,30,1160,1,190.54,7.39
63,30,989,1,100.76,15.43
64,30,526,2,2019.07,9.04
65,31,828,1,379.96,23.68
66,32,591,1,1369.25,15.57
67,32,502,1,457.4,19.86
68,33,45,1,1360.99,23.41
69,33,504,1,276.09,19.16
70,34,678,1,687.04,30.98
71,34,431,1,67.33,37.86
72,34,779,1,49.13,9.54
73,35,418,1,207.29,10.14
74,35,109,1,128.27,15.59
75,36,749,1,788.06,36.0
76,36,410,1,387.26,9.35
77,36,1148,1,355.33,29.85
78,37,675,1,1252.74,44.87
79,37,645,1,355.59,21.06
80,38,637,1,180.55,18.89
81,38,65,1,1919.37,18.91
82,38,375,1,1824.77,31.79
83,39,1016,1,67.65,33.64
84,40,531,1,127.2,41.48
85,41,561,1,1365.94,28.49
86,42,1119,1,844.96,31.86
87,43,1152,1,287.46,28.31
88,43,721,1,557.88,38.86
89,43,595,1,885.56,19.42
90,44,1175,1,147.27,44.45
91,45,279,1,3623.12,36.76
92,46,474,1,270.33,36.08
93,47,317,1,196.09,11.21
94,48,538,2,452.01,32.95
95,48,689,1,171.53,19.16
96,49,590,1,1833.57,14.14
97,49,295,1,681.71,16.19
98,50,555,1,630.12,6.62
99,50,63,1,290.47,31.55
100,51,269,1,2032.66,32.17
101,51,1090,1,133.34,36.73
102,51,332,2,34.42,42.89
103,51,78,1,2819.22,21.8
104,52,470,1,219.1,23.27
105,53,1185,1,602.63,6.64
106,53,384,1,104.86,22.64
107,53,164,1,302.38,40.76
108,54,784,1,183.47,19.45
109,54,704,1,513.85,43.78
110,55,1164,3,139.62,29.91
111,56,976,3,1856.68,16.01
112,57,765,1,81.62,33.65
113,57,55,1,37.88,11.03
114,58,1197,1,732.23,18.89
115,59,672,1,2150.29,40.75
116,60,405,1,4452.13,27.03
117,60,343,1,2320.36,39.55
118,61,573,2,338.28,25.53
119,61,250,1,78.36,18.98
120,61,453,1,516.49,18.63
121,62,897,1,2655.06,21.49
122,63,256,1,629.56,6.57
123,64,531,2,116.32,24.48
124,65,587,1,1335.57,42.9
125,65,219,1,231.71,15.26
126,66,738,1,413.1,43.31
127,66,1092,1,121.44,37.44
128,66,645,1,341.01,44.13
129,67,650,1,213.94,43.68
130,67,444,1,2346.04,38.74
131,68,530,1,287.93,16.71
132,68,506,1,2228.68,20.56
133,68,899,1,38.5,22.88
134,68,1120,1,1276.71,44.43
135,69,242,1,214.71,12.38
136,69,289,1,169.17,5.19
137,69,746,1,262.04,31.39
138,70,698,1,80.04,5.28
139,71,95,1,105.27,13.09
140,72,388,1,336.96,22.35
141,73,904,1,328.61,6.0
142,73,57,1,3110.18,38.26
143,73,1021,1,306.75,22.81
144,74,169,1,1731.72,23.34
145,74,782,1,134.43,19.31
146,75,250,1,76.26,26.57
147,76,1031,1,2680.76,13.29
148,77,1199,1,805.08,11.37
149,77,1074,1,561.16,5.57
150,78,560,2,136.76,36.22
151,79,952,1,467.83,5.28
152,80,636,1,1334.87,24.66
153,81,789,1,4483.65,20.76
154,81,821,1,158.41,25.01
155,82,379,1,3065.59,16.5
156,83,959,1,630.24,32.48
157,83,739,1,192.97,21.57
158,83,613,1,94.3,26.45
159,83,565,1,280.0,26.05
160,83,291,1,27.38,7.47
161,84,333,1,153.12,14.89
162,85,41,1,154.61,9.48
163,86,1021,1,301.98,16.58
164,87,1072,1,329.03,43.31
165,87,433,1,2557.89,25.07
166,88,885,1,3012.55,33.42
167,88,507,1,722.49,15.01
168,88,417,1,3342.78,10.63
169,88,1112,2,530.07,6.84
170,89,870,2,3830.6,23.82
171,90,282,1,502.74,9.68
172,90,884,2,103.32,22.36
173,91,1013,1,914.37,17.51
174,91,158,1,3043.5,10.09
175,91,120,1,269.16,31.42
176,92,562,1,295.32,20.31
177,93,690,1,1199.74,36.68
178,94,785,1,70.14,43.18
179,94,263,1,244.67,24.78
180,94,662,1,736.83,35.27
181,95,610,1,1053.68,6.97
182,96,378,1,1651.51,30.59
183,97,415,1,56.02,27.29
184,97,177,1,181.51,32.58
185,97,50,2,514.08,39.79
186,97,25,1,764.97,24.58
187,98,462,1,44.69,9.27
188,98,692,1,517.55,41.37
189,99,262,1,368.68,10.55
190,99,546,1,167.63,30.67
191,99,368,1,442.92,39.16
192,100,677,1,1438.07,22.86
193,100,1033,1,1832.6,38.29
194,101,905,1,241.92,32.87
195,102,184,1,2147.0,44.32
196,103,566,1,489.98,15.05
197,104,191,1,1765.82,35.41
198,105,816,1,158.66,38.89
199,105,1025,1,60.26,22.84
200,105,490,1,124.05,9.26
201,105,654,1,57.77,26.62
202,106,1054,1,1660.75,43.29
203,107,633,2,244.91,14.65
204,108,847,1,499.43,42.53
205,109,1014,1,82.89,7.72
206,109,418,3,207.45,36.5
207,110,1188,1,83.84,6.67
208,110,837,2,1482.5,41.74
209,111,287,1,466.83,12.36
210,112,755,1,135.59,24.39
211,112,406,1,788.83,16.39
212,113,997,1,987.85,10.71
213,114,313,1,257.73,6.32
214,115,534,1,45.21,32.07
215,116,1022,1,76.54,5.96
216,117,633,1,231.22,42.17
217,118,730,2,587.6,18.08
218,119,779,1,50.49,13.43
219,120,623,2,2801.99,29.23
220,120,846,1,508.47,34.11
221,121,882,1,83.09,19.14
222,122,1052,1,133.81,26.96
223,123,514,1,3086.94,40.58
224,124,1066,2,1595.84,17.96
225,125,249,1,1383.14,23.76
226,125,810,1,60.53,30.82
227,126,1129,1,189.39,11.31
228,126,5,2,183.89,20.42
229,127,150,2,35.47,38.04
230,128,163,1,273.85,9.89
231,128,344,1,2572.28,12.49
232,129,1179,1,341.44,32.97
233,130,702,1,3287.52,37.83
234,131,986,1,390.52,17.18
235,131,233,1,835.96,44.05
236,131,764,1,407.13,27.1
237,131,149,1,1434.41,26.32
238,132,1117,1,152.05,30.66
239,132,414,1,179.74,9.53
240,133,156,1,489.03,34.44
241,134,336,1,136.25,22.47
242,135,792,1,500.05,34.97
243,136,843,1,2763.4,12.55
244,136,278,1,170.36,11.77
245,136,15,1,2149.98,11.83
246,137,48,2,110.15,36.68
247,137,580,1,745.53,36.17
248,138,597,1,313.38,7.49
249,139,466,1,168.69,31.4
250,139,49,1,647.95,25.4
251,140,907,2,191.69,12.5
252,140,497,1,573.15,26.89
253,141,401,1,623.64,7.92
254,142,961,1,2334.01,39.23
255,143,901,2,102.99,43.09
256,143,1161,1,2660.23,40.77
257,143,893,1,1996.7,7.24
258,144,1111,1,138.85,44.87
259,144,1068,2,1095.0,41.35
260,144,247,1,262.02,32.81
261,144,1183,1,2504.74,7.85
262,145,314,1,2680.62,17.26
263,146,422,1,2982.65,44.41
264,147,389,1,1944.68,41.7
265,148,739,1,187.17,11.86
266,148,1029,1,363.64,13.6
267,148,1022,1,76.67,40.67
268,149,1083,1,3098.04,16.44
269,149,632,1,104.43,28.42
270,150,1133,1,67.4,36.56
271,150,853,1,348.51,43.93
272,151,116,1,2005.42,15.81
