order_id,customer_id,order_date,order_status,order_total
1,6402,2024-11-20,canceled,1288.5
2,6331,2024-11-08,delivered,512.84
3,4016,2024-10-05,delivered,305.15
4,6411,2024-01-06,delivered,493.0
5,7016,2024-08-15,delivered,3707.72
6,2865,2023-12-28,returned,339.95
7,2740,2024-01-29,delivered,486.78
8,6943,2024-10-07,delivered,957.19
9,5303,2024-01-15,delivered,3285.59
10,999,2024-10-06,delivered,289.58
11,3947,2024-03-26,delivered,589.14
12,7812,2024-12-12,delivered,4865.57
13,2921,2023-08-12,delivered,485.42
14,7351,2024-11-24,delivered,6662.32
15,6467,2024-07-31,delivered,2290.38
16,4312,2024-03-25,delivered,1973.5
17,2822,2024-11-28,delivered,71.14
18,2167,2024-02-04,delivered,242.56
19,1184,2023-10-31,delivered,2114.71
20,7644,2024-03-30,delivered,1938.11
21,2315,2024-03-19,delivered,228.35
22,6210,2024-04-25,delivered,2074.22
23,6509,2024-09-09,delivered,4833.37
24,6935,2023-10-03,delivered,496.0
25,6098,2023-11-27,delivered,1721.16
26,5866,2024-11-15,canceled,1989.2
27,8313,2023-09-10,delivered,5829.3
28,1177,2023-12-16,canceled,295.22
29,8830,2024-09-04,delivered,2123.5
30,4255,2023-08-08,delivered,4361.3
31,5678,2024-11-06,delivered,403.64
32,4824,2024-03-09,delivered,1862.08
33,1162,2024-04-05,delivered,1679.65
34,6184,2023-12-18,delivered,881.88
35,8103,2024-05-29,delivered,361.29
36,3893,2024-11-28,shipped,1605.85
37,2860,2024-08-29,delivered,1674.26
38,3379,2024-05-15,delivered,3994.28
39,3038,2024-07-15,delivered,101.29
40,5331,2024-11-08,delivered,168.68
41,2584,2024-08-12,delivered,1394.43
42,455,2023-06-02,shipped,876.82
43,3338,2024-09-20,delivered,1817.49
44,3219,2023-10-04,delivered,191.72
45,7596,2024-09-02,delivered,3659.88
46,2734,2024-04-21,delivered,306.41
47,6100,2024-06-19,delivered,207.3
48,3927,2024-09-23,delivered,1127.66
49,4668,2024-11-08,delivered,2545.61
50,3608,2024-07-25,delivered,958.76
51,2144,2023-09-07,delivered,5187.65
52,2518,2023-10-11,delivered,242.37
53,1242,2024-03-22,delivered,1079.91
54,8578,2024-08-10,delivered,760.55
55,34,2024-09-19,delivered,448.77
56,4291,2024-10-24,delivered,5586.05
57,481,2024-12-21,delivered,164.18
58,5952,2024-04-13,shipped,751.12
59,6335,2024-06-05,delivered,2191.04
60,4265,2024-01-25,delivered,6839.07
61,2613,2023-05-25,delivered,1334.55
62,8538,2024-09-06,delivered,2676.55
63,3605,2024-03-25,shipped,636.13
64,8255,2024-08-20,delivered,257.12
65,5998,2024-11-29,delivered,1625.44
66,6157,2024-07-29,delivered,1000.43
67,838,2024-05-09,delivered,2642.4
68,2447,2024-07-31,returned,3936.4
69,8112,2024-07-06,canceled,694.88
70,3167,2024-06-14,delivered,85.32
71,6538,2024-03-29,delivered,118.36
72,659,2024-11-20,delivered,359.31
73,2457,2024-11-11,delivered,3812.61
74,7055,2024-12-10,delivered,1908.8
75,4500,2024-12-12,delivered,102.83
76,617,2023-10-10,delivered,2694.05
77,5200,2024-02-23,delivered,1383.18
78,1141,2024-10-29,delivered,309.74
79,8290,2024-04-16,delivered,473.11
80,4996,2024-10-18,delivered,1359.53
81,6046,2024-10-10,delivered,4687.83
82,3103,2024-08-30,delivered,3082.09
83,4764,2024-05-13,delivered,1338.91
84,1293,2024-03-06,delivered,168.01
85,4957,2023-09-27,delivered,164.09
86,2415,2023-11-23,delivered,318.56
87,673,2024-03-18,delivered,2955.3
88,810,2024-09-18,shipped,8203.86
89,5303,2023-07-15,delivered,7685.02
90,1554,2023-10-02,delivered,741.42
91,7559,2023-11-21,returned,4286.05
92,1158,2024-10-29,delivered,315.63
93,7336,2024-09-25,delivered,1236.42
94,8875,2024-01-26,delivered,1154.87
95,600,2023-12-02,delivered,1060.65
96,136,2024-12-11,delivered,1682.1
97,5527,2024-07-19,delivered,2154.9
98,2363,2024-02-24,delivered,612.88
99,968,2024-11-12,delivered,1059.61
100,5179,2024-03-20,delivered,3331.82
101,7781,2024-09-24,delivered,274.79
102,4237,2024-11-25,delivered,2191.32
103,3589,2024-11-11,delivered,505.03
104,1957,2023-09-01,delivered,1801.23
105,66,2024-04-10,delivered,498.35
106,363,2023-12-07,delivered,1704.04
107,7940,2024-04-25,delivered,504.47
108,3871,2024-01-15,delivered,541.96
109,3050,2024-09-05,delivered,749.46
110,4587,2024-06-04,delivered,3097.25
111,1430,2024-06-04,delivered,479.19
112,2977,2024-08-28,delivered,965.2
113,2823,2024-10-26,delivered,998.56
114,3299,2024-09-09,canceled,264.05
115,6098,2024-12-06,delivered,77.28
116,7290,2024-11-22,returned,82.5
117,4032,2023-12-12,returned,273.39
118,6167,2024-06-23,delivered,1193.28
119,3050,2024-07-08,delivered,63.92
120,1321,2024-03-26,delivered,6175.79
121,1651,2024-09-21,delivered,102.23
122,2750,2024-12-05,delivered,160.77
123,6737,2024-08-15,canceled,3127.52
124,6168,2024-09-28,delivered,3209.64
125,2132,2024-06-01,delivered,1498.25
126,1888,2024-12-15,delivered,588.9
127,1668,2024-02-06,delivered,108.98
128,6210,2024-08-01,delivered,2868.51
129,1691,2024-06-26,delivered,374.41
130,5960,2024-07-21,shipped,3325.35
131,4839,2023-11-20,delivered,3182.67
132,488,2024-07-03,delivered,371.98
