payment_id,order_id,payment_type,installments,payment_value
1,1,credit_card,3,1288.5
2,2,debit_card,1,512.84
3,3,debit_card,1,305.15
4,4,voucher,1,493.0
5,5,credit_card,3,3707.72
6,6,debit_card,1,339.95
7,7,boleto,1,486.78
8,8,credit_card,1,957.19
9,9,credit_card,4,3285.59
10,10,debit_card,1,289.58
11,11,debit_card,1,589.14
12,12,debit_card,1,4865.57
13,13,boleto,1,485.42
14,14,debit_card,1,6662.32
15,15,credit_card,1,2290.38
16,16,voucher,1,1973.5
17,17,credit_card,1,71.14
18,18,voucher,1,242.56
19,19,voucher,1,2114.71
20,20,credit_card,10,1938.11
21,21,voucher,1,228.35
22,22,voucher,1,2074.22
23,23,credit_card,2,4833.37
24,24,debit_card,1,496.0
25,25,debit_card,1,1721.16
26,26,voucher,1,1989.2
27,27,debit_card,1,5829.3
28,28,debit_card,1,295.22
29,29,credit_card,1,2123.5
30,30,boleto,1,4361.3
31,31,boleto,1,403.64
32,32,voucher,1,1862.08
33,33,boleto,1,1679.65
34,34,debit_card,1,881.88
35,35,voucher,1,361.29
36,36,voucher,1,1605.85
37,37,credit_card,1,1674.26
38,38,debit_card,1,3994.28
39,39,voucher,1,101.29
40,40,boleto,1,168.68
41,41,credit_card,2,1394.43
42,42,boleto,1,876.82
43,43,debit_card,1,1817.49
44,44,credit_card,1,191.72
45,45,voucher,1,3659.88
46,46,boleto,1,306.41
47,47,debit_card,1,207.3
48,48,boleto,1,1127.66
49,49,credit_card,3,2545.61
50,50,credit_card,6,958.76
51,51,boleto,1,5187.65
52,52,voucher,1,242.37
53,53,voucher,1,1079.91
54,54,boleto,1,760.55
55,55,debit_card,1,448.77
56,56,credit_card,4,5586.05
57,57,credit_card,1,164.18
58,58,credit_card,1,751.12
59,59,voucher,1,2191.04
60,60,debit_card,1,6839.07
61,61,voucher,1,1334.55
62,62,boleto,1,2676.55
63,63,debit_card,1,636.13
64,64,boleto,1,257.12
65,65,credit_card,1,1625.44
66,66,boleto,1,1000.43
67,67,boleto,1,2642.4
68,68,debit_card,1,3936.4
69,69,debit_card,1,694.88
70,70,voucher,1,85.32
71,71,debit_card,1,118.36
72,72,debit_card,1,359.31
73,73,debit_card,1,3812.61
74,74,boleto,1,1908.8
75,75,boleto,1,102.83
76,76,boleto,1,2694.05
77,77,voucher,1,1383.18
78,78,boleto,1,309.74
79,79,boleto,1,473.11
80,80,debit_card,1,1359.53
81,81,voucher,1,4687.83
82,82,voucher,1,3082.09
83,83,debit_card,1,1338.91
84,84,credit_card,1,168.01
85,85,debit_card,1,164.09
86,86,credit_card,4,318.56
87,87,voucher,1,2955.3
88,88,credit_card,1,8203.86
89,89,voucher,1,7685.02
90,90,voucher,1,741.42
91,91,credit_card,1,4286.05
92,92,debit_card,1,315.63
93,93,voucher,1,1236.42
94,94,debit_card,1,1154.87
95,95,boleto,1,1060.65
96,96,debit_card,1,1682.1
97,97,boleto,1,2154.9
98,98,boleto,1,612.88
99,99,voucher,1,1059.61
100,100,credit_card,10,3331.82
101,101,boleto,1,274.79
102,102,credit_card,1,2191.32
103,103,credit_card,4,505.03
104,104,debit_card,1,1801.23
105,105,boleto,1,498.35
106,106,debit_card,1,1704.04
107,107,boleto,1,504.47
108,108,debit_card,1,541.96
109,109,debit_card,1,749.46
110,110,credit_card,4,3097.25
111,111,debit_card,1,479.19
112,112,debit_card,1,965.2
113,113,credit_card,1,998.56
114,114,voucher,1,264.05
115,115,voucher,1,77.28
116,116,debit_card,1,82.5
117,117,debit_card,1,273.39
118,118,voucher,1,1193.28
119,119,debit_card,1,63.92
120,120,boleto,1,6175.79
121,121,debit_card,1,102.23
122,122,debit_card,1,160.77
123,123,debit_card,1,3127.52
124,124,debit_card,1,3209.64
125,125,debit_card,1,1498.25
126,126,credit_card,1,588.9
127,127,voucher,1,108.98
128,128,debit_card,1,2868.51
129,129,voucher,1,374.41
130,130,credit_card,4,3325.35
131,131,credit_card,4,3182.67
132,132,voucher,1,371.98
133,133,boleto,1,523.47
134,134,voucher,1,158.72
